Series,Model,MAE,RMSE,MAPE,Bias,MASE
Groundnut,"ARIMA(1,1,0)",115.486,132.577,2.091,-115.486,0.377
Groundnut,CAGR,211.532,232.031,3.88,211.532,0.69
Groundnut,Drift,105.0,129.904,1.934,105.0,0.342
Groundnut,Ensemble,146.667,164.367,2.697,146.667,0.478
Groundnut,GradBoost,306.667,327.338,5.583,-306.667,1.0
Groundnut,Holt,146.667,164.367,2.697,146.667,0.478
Groundnut,Linear,146.667,164.367,2.697,146.667,0.478
Groundnut,Naive,306.667,327.338,5.583,-306.667,1.0
Groundnut,RandomForest,386.856,403.334,7.053,-386.856,1.261
Groundnut,RidgePoly2,219.73,262.978,4.022,219.73,0.717
Jowar (Hybrid),"ARIMA(1,1,0)",40.873,50.198,1.494,-39.436,0.326
Jowar (Hybrid),CAGR,809.402,881.318,29.928,809.402,6.458
Jowar (Hybrid),Drift,401.889,447.163,14.873,401.889,3.207
Jowar (Hybrid),Ensemble,509.111,543.439,18.845,509.111,4.062
Jowar (Hybrid),GradBoost,125.333,134.373,4.616,-125.333,1.0
Jowar (Hybrid),Holt,509.11,543.439,18.845,509.11,4.062
Jowar (Hybrid),Linear,509.111,543.44,18.845,509.111,4.062
Jowar (Hybrid),Naive,125.333,134.373,4.616,-125.333,1.0
Jowar (Hybrid),RandomForest,181.044,188.153,6.686,-181.044,1.445
Jowar (Hybrid),RidgePoly2,489.949,554.198,18.123,489.949,3.909
Jowar (Maldandi),"ARIMA(1,1,0)",40.816,50.051,1.481,-39.286,0.326
Jowar (Maldandi),CAGR,797.699,868.252,29.279,797.699,6.365
Jowar (Maldandi),Drift,398.833,443.8,14.651,398.833,3.182
Jowar (Maldandi),Ensemble,505.223,539.303,18.563,505.223,4.031
Jowar (Maldandi),GradBoost,125.333,134.373,4.582,-125.333,1.0
Jowar (Maldandi),Holt,505.224,539.304,18.563,505.224,4.031
Jowar (Maldandi),Linear,505.222,539.303,18.563,505.222,4.031
Jowar (Maldandi),Naive,125.333,134.373,4.582,-125.333,1.0
Jowar (Maldandi),RandomForest,180.911,188.018,6.632,-180.911,1.443
Jowar (Maldandi),RidgePoly2,486.687,550.566,17.87,486.687,3.883
Jute,"ARIMA(1,1,0)",37.28,46.73,0.844,-37.28,0.102
Jute,CAGR,32.212,35.802,0.733,-32.212,0.088
Jute,Drift,61.111,67.358,1.382,-61.111,0.167
Jute,Ensemble,60.267,69.016,1.365,-60.267,0.164
Jute,GradBoost,366.667,388.909,8.281,-366.667,1.0
Jute,Holt,55.556,71.037,1.263,-55.556,0.152
Jute,Linear,72.222,76.679,1.633,-72.222,0.197
Jute,Naive,366.667,388.909,8.281,-366.667,1.0
Jute,RandomForest,462.722,478.778,10.457,-462.722,1.262
Jute,RidgePoly2,67.889,89.928,1.517,67.889,0.185
Maize,"ARIMA(1,1,0)",50.93,51.359,2.734,-23.219,0.695
Maize,CAGR,231.484,247.966,12.408,231.484,3.157
Maize,Drift,141.389,154.309,7.576,141.389,1.928
Maize,Ensemble,173.889,184.964,9.321,173.889,2.371
Maize,GradBoost,73.333,82.865,3.939,-73.333,1.0
Maize,Holt,173.889,184.964,9.321,173.889,2.371
Maize,Linear,173.889,184.964,9.321,173.889,2.371
Maize,Naive,73.333,82.865,3.939,-73.333,1.0
Maize,RandomForest,105.267,110.739,5.652,-105.267,1.435
Maize,RidgePoly2,181.797,201.962,9.742,181.797,2.479
Masur (Lentil),"ARIMA(1,1,0)",86.531,104.256,1.576,-86.531,0.185
Masur (Lentil),CAGR,63.384,72.446,1.159,-63.384,0.136
Masur (Lentil),Drift,97.222,110.659,1.78,-97.222,0.208
Masur (Lentil),Ensemble,104.167,116.592,1.91,-104.167,0.223
Masur (Lentil),GradBoost,466.667,496.655,8.627,-466.667,1.0
Masur (Lentil),Holt,111.111,122.663,2.04,-111.111,0.238
Masur (Lentil),Linear,111.111,122.663,2.04,-111.111,0.238
Masur (Lentil),Naive,466.667,496.655,8.627,-466.667,1.0
Masur (Lentil),RandomForest,583.833,607.376,10.81,-583.833,1.251
Masur (Lentil),RidgePoly2,87.193,107.059,1.614,68.918,0.187
Moong,"ARIMA(1,1,0)",94.559,117.116,1.305,-94.559,0.63
Moong,CAGR,1266.339,1361.263,17.458,1266.339,8.442
Moong,Drift,767.611,841.665,10.581,767.611,5.117
Moong,Ensemble,980.558,1041.933,13.519,980.558,6.537
Moong,GradBoost,150.0,161.433,2.069,-150.0,1.0
Moong,Holt,980.56,1041.935,13.519,980.56,6.537
Moong,Linear,980.556,1041.931,13.519,980.556,6.537
Moong,Naive,150.0,161.433,2.069,-150.0,1.0
Moong,RandomForest,222.029,230.806,3.063,-222.029,1.48
Moong,RidgePoly2,861.935,957.984,11.882,861.935,5.746
