Series,Model,Origin,Target_Year,Horizon,Actual,Predicted,Error,AbsError,APE
Soyabean (Yellow),RidgePoly2,2020,2021,1,3950.0,4240.19,290.19,290.19,7.35
Soyabean (Yellow),CAGR,2020,2021,1,3950.0,4279.26,329.26,329.26,8.34
Soyabean (Yellow),Holt,2020,2021,1,3950.0,4210.0,260.0,260.0,6.58
Soyabean (Yellow),"ARIMA(1,1,0)",2020,2021,1,3950.0,4036.14,86.14,86.14,2.18
Soyabean (Yellow),RandomForest,2020,2021,1,3950.0,3794.8,-155.2,155.2,3.93
Soyabean (Yellow),GradBoost,2020,2021,1,3950.0,3880.0,-70.0,70.0,1.77
Soyabean (Yellow),Ensemble,2020,2021,1,3950.0,4210.0,260.0,260.0,6.58
Sunflower Seed,Naive,2019,2020,1,5885.0,5650.0,-235.0,235.0,3.99
Sunflower Seed,Naive,2019,2021,2,6015.0,5650.0,-365.0,365.0,6.07
Sunflower Seed,Drift,2019,2020,1,5885.0,6425.0,540.0,540.0,9.18
Sunflower Seed,Drift,2019,2021,2,6015.0,7200.0,1185.0,1185.0,19.7
Sunflower Seed,Linear,2019,2020,1,5885.0,6596.0,711.0,711.0,12.08
Sunflower Seed,Linear,2019,2021,2,6015.0,7371.0,1356.0,1356.0,22.54
Sunflower Seed,RidgePoly2,2019,2020,1,5885.0,6546.24,661.24,661.24,11.24
Sunflower Seed,RidgePoly2,2019,2021,2,6015.0,7556.16,1541.16,1541.16,25.62
Sunflower Seed,CAGR,2019,2020,1,5885.0,6886.81,1001.81,1001.81,17.02
Sunflower Seed,CAGR,2019,2021,2,6015.0,8084.44,2069.44,2069.44,34.4
Sunflower Seed,Holt,2019,2020,1,5885.0,6596.0,711.0,711.0,12.08
Sunflower Seed,Holt,2019,2021,2,6015.0,7371.0,1356.0,1356.0,22.54
Sunflower Seed,"ARIMA(1,1,0)",2019,2020,1,5885.0,5803.79,-81.21,81.21,1.38
Sunflower Seed,"ARIMA(1,1,0)",2019,2021,2,6015.0,5894.06,-120.94,120.94,2.01
Sunflower Seed,RandomForest,2019,2020,1,5885.0,5520.68,-364.32,364.32,6.19
Sunflower Seed,RandomForest,2019,2021,2,6015.0,5520.68,-494.32,494.32,8.22
Sunflower Seed,GradBoost,2019,2020,1,5885.0,5650.0,-235.0,235.0,3.99
Sunflower Seed,GradBoost,2019,2021,2,6015.0,5650.0,-365.0,365.0,6.07
Sunflower Seed,Ensemble,2019,2020,1,5885.0,6596.0,711.0,711.0,12.08
Sunflower Seed,Ensemble,2019,2021,2,6015.0,7371.0,1356.0,1356.0,22.54
Sunflower Seed,Naive,2020,2021,1,6015.0,5885.0,-130.0,130.0,2.16
Sunflower Seed,Drift,2020,2021,1,6015.0,6480.0,465.0,465.0,7.73
Sunflower Seed,Linear,2020,2021,1,6015.0,6660.0,645.0,645.0,10.72
Sunflower Seed,RidgePoly2,2020,2021,1,6015.0,6541.87,526.87,526.87,8.76
Sunflower Seed,CAGR,2020,2021,1,6015.0,6908.42,893.42,893.42,14.85
Sunflower Seed,Holt,2020,2021,1,6015.0,6660.0,645.0,645.0,10.72
Sunflower Seed,"ARIMA(1,1,0)",2020,2021,1,6015.0,6034.17,19.17,19.17,0.32
Sunflower Seed,RandomForest,2020,2021,1,6015.0,5774.17,-240.83,240.83,4.0
Sunflower Seed,GradBoost,2020,2021,1,6015.0,5885.0,-130.0,130.0,2.16
Sunflower Seed,Ensemble,2020,2021,1,6015.0,6660.0,645.0,645.0,10.72
Toria,Naive,2019,2020,1,4650.0,4425.0,-225.0,225.0,4.84
Toria,Naive,2019,2021,2,5050.0,4425.0,-625.0,625.0,12.38
Toria,Drift,2019,2020,1,4650.0,4687.5,37.5,37.5,0.81
Toria,Drift,2019,2021,2,5050.0,4950.0,-100.0,100.0,1.98
Toria,Linear,2019,2020,1,4650.0,4696.67,46.67,46.67,1.0
Toria,Linear,2019,2021,2,5050.0,4959.17,-90.83,90.83,1.8
Toria,RidgePoly2,2019,2020,1,4650.0,4755.87,105.87,105.87,2.28
Toria,RidgePoly2,2019,2021,2,5050.0,5194.47,144.47,144.47,2.86
Toria,CAGR,2019,2020,1,4650.0,4726.93,76.93,76.93,1.65
Toria,CAGR,2019,2021,2,5050.0,5035.05,-14.95,14.95,0.3
Toria,Holt,2019,2020,1,4650.0,4696.67,46.67,46.67,1.0
Toria,Holt,2019,2021,2,5050.0,4959.17,-90.83,90.83,1.8
Toria,"ARIMA(1,1,0)",2019,2020,1,4650.0,4652.58,2.58,2.58,0.06
Toria,"ARIMA(1,1,0)",2019,2021,2,5050.0,4872.98,-177.02,177.02,3.51
Toria,RandomForest,2019,2020,1,4650.0,4340.73,-309.27,309.27,6.65
Toria,RandomForest,2019,2021,2,5050.0,4340.73,-709.27,709.27,14.04
Toria,GradBoost,2019,2020,1,4650.0,4425.0,-225.0,225.0,4.84
Toria,GradBoost,2019,2021,2,5050.0,4425.0,-625.0,625.0,12.38
Toria,Ensemble,2019,2020,1,4650.0,4696.67,46.67,46.67,1.0
Toria,Ensemble,2019,2021,2,5050.0,4959.17,-90.83,90.83,1.8
Toria,Naive,2020,2021,1,5050.0,4650.0,-400.0,400.0,7.92
Toria,Drift,2020,2021,1,5050.0,4900.0,-150.0,150.0,2.97
Toria,Linear,2020,2021,1,5050.0,4912.5,-137.5,137.5,2.72
Toria,RidgePoly2,2020,2021,1,5050.0,4963.43,-86.57,86.57,1.71
Toria,CAGR,2020,2021,1,5050.0,4953.1,-96.9,96.9,1.92
Toria,Holt,2020,2021,1,5050.0,4912.5,-137.5,137.5,2.72
Toria,"ARIMA(1,1,0)",2020,2021,1,5050.0,4871.07,-178.93,178.93,3.54
Toria,RandomForest,2020,2021,1,5050.0,4551.33,-498.67,498.67,9.87
Toria,GradBoost,2020,2021,1,5050.0,4650.0,-400.0,400.0,7.92
Toria,Ensemble,2020,2021,1,5050.0,4912.5,-137.5,137.5,2.72
Urad,Naive,2019,2020,1,6000.0,5700.0,-300.0,300.0,5.0
Urad,Naive,2019,2021,2,6300.0,5700.0,-600.0,600.0,9.52
Urad,Drift,2019,2020,1,6000.0,5850.0,-150.0,150.0,2.5
Urad,Drift,2019,2021,2,6300.0,6000.0,-300.0,300.0,4.76
Urad,Linear,2019,2020,1,6000.0,5866.67,-133.33,133.33,2.22
Urad,Linear,2019,2021,2,6300.0,6016.67,-283.33,283.33,4.5
Urad,RidgePoly2,2019,2020,1,6000.0,5882.67,-117.33,117.33,1.96
Urad,RidgePoly2,2019,2021,2,6300.0,6110.67,-189.33,189.33,3.01
Urad,CAGR,2019,2020,1,6000.0,5874.44,-125.56,125.56,2.09
